TITLE;DESCRIPTION;VERSION;CREATION;UPDATE
"AWS Service Catalog";"<fullname>AWS Service Catalog</fullname> <p> <a hr";"Mike Ralphson";02-05-2017 07:59:53;07-02-2018 07:19:24
"Amazon Route 53 Auto Naming";"Amazon Route 53 auto naming lets you configure pub";"Mike Ralphson";06-12-2017 17:43:33;07-02-2018 07:19:24
"AWS Shield";"<fullname>AWS Shield Advanced</fullname> <p>This i";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"AWS Server Migration Service";"Amazon Server Migration Service automates the proc";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"Amazon Import/Export Snowball";"AWS Snowball is a petabyte-scale data transport so";"Mike Ralphson";02-05-2017 07:59:53;08-01-2018 11:01:53
"Amazon Simple Notification Service";"<fullname>Amazon Simple Notification Service</full";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"Amazon Simple Queue Service";"<p>Welcome to the <i>Amazon Simple Queue Service A";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"Amazon Simple Systems Manager (SSM)";"<fullname>AWS Systems Manager</fullname> <p>AWS Sy";"Mike Ralphson";02-05-2017 07:59:53;07-02-2018 07:19:24
"AWS Step Functions";"<fullname>AWS Step Functions</fullname> <p>AWS Ste";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"AWS Storage Gateway";"<fullname>AWS Storage Gateway Service</fullname> <";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"Amazon DynamoDB Streams";"<fullname>Amazon DynamoDB</fullname> <p>Amazon Dyn";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"AWS Security Token Service";"<fullname>AWS Security Token Service</fullname> <p";"Mike Ralphson";02-05-2017 07:59:53;27-02-2018 17:27:13
"AWS Support";"<fullname>AWS Support</fullname> <p>The AWS Suppor";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"Amazon Simple Workflow Service";"<fullname>Amazon Simple Workflow Service</fullname";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"Amazon Transcribe Service";"Operations and objects for transcribing speech to ";"Mike Ralphson";22-01-2018 08:24:10;22-01-2018 08:24:10
"Amazon Translate";"Provides translation between English and one of si";"Mike Ralphson";30-11-2017 10:12:39;30-11-2017 10:12:39
"AWS WAF";"This is the <i>AWS WAF API Reference</i> for using";"Mike Ralphson";02-05-2017 07:59:53;21-02-2018 09:08:17
"AWS WAF Regional";"This is the <i>AWS WAF Regional API Reference</i> ";"Mike Ralphson";02-05-2017 07:59:53;21-02-2018 09:08:17
"Amazon WorkDocs";"<p>The WorkDocs API is designed for the following ";"Mike Ralphson";02-05-2017 07:59:53;06-12-2017 17:43:33
"Amazon WorkMail";"<p>Amazon WorkMail is a secure, managed business e";"Mike Ralphson";13-12-2017 17:29:17;13-12-2017 17:29:17
"Amazon WorkSpaces";"<fullname>Amazon WorkSpaces Service</fullname> <p>";"Mike Ralphson";02-05-2017 07:59:53;31-12-2017 14:57:33
"AWS X-Ray";"AWS X-Ray provides APIs for managing debug traces ";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"Apacta";"API for a tool to craftsmen used to register worki";"";17-03-2017 22:40:07;22-01-2018 15:44:32
"Marketcheck Cars";"<b>Access the New, Used and Certified cars invento";"";17-01-2018 12:05:29;19-02-2018 08:08:39
"APIMATIC API Transformer";"Transform API Descriptions from/to various formats";"API Transformer";14-04-2016 12:48:50;04-04-2017 17:27:32
"APIs.guru";"Wikipedia for Web APIs. Repository of API specs in";"APIs.guru";26-11-2015 17:52:26;13-11-2017 18:16:50
"2ch matome feeds APIs";"Various 2ch matome feeds.<BR />[Endpoint] https://";"";18-04-2017 10:18:26;28-09-2017 06:09:03
"Certificate feeds APIs";"Various certificate feeds.<BR />[Endpoint] https:/";"";18-04-2017 10:18:26;28-09-2017 06:09:03
"Cosine Similarity";"Cosine Similarity.<BR />[Endpoint] https://api.api";"";28-09-2017 06:09:03;28-09-2017 06:09:03
"Design feeds APIs";"Various design feeds.<BR />[Endpoint] https://api.";"";18-04-2017 10:18:26;28-09-2017 06:09:03
"Document frequency APIs";"Document frequency of Wikipedia.<BR />[Endpoint] h";"";18-04-2017 10:18:26;03-10-2017 18:33:47
"Game feeds APIs";"Various game feeds.<BR />[Endpoint] https://api.ap";"";18-04-2017 10:18:26;28-09-2017 06:09:03
"Japanese WordNet APIs";"Return all WordNet words.<BR />[Endpoint] https://";"";28-09-2017 06:09:03;28-09-2017 06:09:03
"Kmeans clustering by word2vec";"Kmeans clustering by word2vec.<BR />[Endpoint] htt";"";28-09-2017 06:09:03;28-09-2017 06:09:03
"Kuromoji APIs";"Kuromoji: japanese morphological analyzer.<BR />[E";"";18-04-2017 10:18:26;28-09-2017 06:09:03
"Language Detection APIs";"Language detection.<BR />[Endpoint] https://api.ap";"";18-04-2017 10:18:26;03-10-2017 18:33:47
"News feeds APIs";"Various news feeds.<BR />[Endpoint] https://api.ap";"";18-04-2017 10:18:26;28-09-2017 06:09:03
"Pioneer blog feeds APIs";"Various blog feeds.<BR />[Endpoint] https://api.ap";"";18-04-2017 10:18:26;28-09-2017 06:09:03
"RSS2JSON APIs";"Rss to Json.<BR />[Endpoint] https://api.apitore.c";"";18-04-2017 10:18:26;28-09-2017 06:09:03
"Sentence separator APIs";"Simple sentence separator.<BR />[Endpoint] https:/";"";18-04-2017 10:18:26;03-10-2017 18:33:47
"Sentence Similarity";"Sentence Similarity.<BR />[Endpoint] https://api.a";"";28-09-2017 06:09:03;03-10-2017 18:33:47
"SentencePiece APIs (tweet)";"SentencePiece tokenizer (tweet).<BR />[Endpoint] h";"";18-04-2017 10:18:26;03-10-2017 18:33:47
"SentencePiece APIs (wikipedia)";"SentencePiece tokenizer (wikipedia).<BR />[Endpoin";"";18-04-2017 10:18:26;03-10-2017 18:33:47
"Sentiment APIs";"Japanese sentiment analyzer.<BR />[Endpoint] https";"";18-04-2017 10:18:26;04-01-2018 14:43:03
"Synonym APIs";"Return synonymous words. (equal to "word2vec dista";"";18-04-2017 10:18:26;03-10-2017 18:33:47
"Tech feeds APIs";"Various tech feeds.<BR />[Endpoint] https://api.ap";"";18-04-2017 10:18:26;28-09-2017 06:09:03
"Text2Label by tfidf APIs";"Text to label by tfidf of contents.<BR />[Endpoint";"";18-04-2017 10:18:26;28-09-2017 06:09:03
"Text2Label by word vector APIs";"Text to label by word2vec of contents.<BR />[Endpo";"";18-04-2017 10:18:26;28-09-2017 06:09:03
"Travel feeds APIs";"Various travel feeds.<BR />[Endpoint] https://api.";"";18-04-2017 10:18:26;28-09-2017 06:09:03
"Tweet summarization APIs";"Tweet summarization.<BR />[Endpoint] https://api.a";"";18-04-2017 10:18:26;03-10-2017 18:33:47
